1	2.090	2.081	2.404	3.050
2	1.416	1.186	1.309	1.518
3	1.152	0.825	1.052	1.016
4	0.997	0.678	0.878	0.783
5	0.954	0.547	0.771	0.656
6	0.932	0.518	0.732	0.557
7	0.870	0.470	0.731	0.503
8	0.835	0.411	0.739	0.427
9	0.787	0.358	0.756	0.400
10	0.732	0.314	0.794	0.370
11	0.707	0.288	0.955	0.333
12	0.748	0.277	0.979	0.314
